name,code,bic
"Banco Nacional de México, S.A., Institución de Banca Múltiple, Grupo Financiero Banamex",BANAMEX,002
"Banco Nacional de Comercio Exterior, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo",BANCOMEXT,006
"Banco Nacional de Obras y Servicios Públicos, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo",BANOBRAS,009
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer",BBVA BANCOMER,012
"Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo Financiero Santander",SANTANDER,014
"Banco Nacional del Ejército, Fuerza Aérea y Armada, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo",BANJERCITO,019
"HSBC México, S.A., institución De Banca Múltiple, Grupo Financiero HSBC",HSBC,021
"Banco del Bajío, S.A., Institución de Banca Múltiple",BAJIO,030
"IXE Banco, S.A., Institución de Banca Múltiple, IXE Grupo Financiero",IXE,032
"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa",INBURSA,036
"Banco Interacciones, S.A., Institución de Banca Múltiple",INTERACCIONES,037
"Banca Mifel, S.A., Institución de Banca Múltiple, Grupo Financiero Mifel",MIFEL,042
"Scotiabank Inverlat, S.A.",SCOTIABANK,044
"Banco Regional de Monterrey, S.A., Institución de Banca Múltiple, Banregio Grupo Financiero",BANREGIO,058
"Banco Invex, S.A., Institución de Banca Múltiple, Invex Grupo Financiero",INVEX,059
"Bansi, S.A., Institución de Banca Múltiple",BANSI,060
"Banca Afirme, S.A., Institución de Banca Múltiple",AFIRME,062
"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte",BANORTE,072
"The Royal Bank of Scotland México, S.A., Institución de Banca Múltiple",THE ROYAL BANK,102
"American Express Bank (México), S.A., Institución de Banca Múltiple",AMERICAN EXPRESS,103
"Bank of America México, S.A., Institución de Banca Múltiple, Grupo Financiero Bank of America",BAMSA,106
"Bank of Tokyo-Mitsubishi UFJ (México), S.A.",TOKYO,108
"Banco J.P. Morgan, S.A., Institución de Banca Múltiple, J.P. Morgan Grupo Financiero",JP MORGAN,110
"Banco Monex, S.A., Institución de Banca Múltiple",BMONEX,112
"Banco Ve Por Mas, S.A. Institución de Banca Múltiple",VE POR MAS,113
"ING Bank (México), S.A., Institución de Banca Múltiple, ING Grupo Financiero",ING,116
"Deutsche Bank México, S.A., Institución de Banca Múltiple",DEUTSCHE,124
"Banco Credit Suisse (México), S.A. Institución de Banca Múltiple, Grupo Financiero Credit Suisse (México)",CREDIT SUISSE,126
"Banco Azteca, S.A. Institución de Banca Múltiple.",AZTECA,127
"Banco Autofin México, S.A. Institución de Banca Múltiple",AUTOFIN,128
"Barclays Bank México, S.A., Institución de Banca Múltiple, Grupo Financiero Barclays México",BARCLAYS,129
"Banco Compartamos, S.A., Institución de Banca Múltiple",COMPARTAMOS,130
"Banco Ahorro Famsa, S.A., Institución de Banca Múltiple",BANCO FAMSA,131
"Banco Multiva, S.A., Institución de Banca Múltiple, Multivalores Grupo Financiero",BMULTIVA,132
"Banco Actinver, S.A. Institución de Banca Múltiple, Grupo Financiero Actinver",ACTINVER,133
"Banco Wal-Mart de México Adelante, S.A., Institución de Banca Múltiple",WAL-MART,134
"Nacional Financiera, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo",NAFIN,135
"Inter Banco, S.A. Institución de Banca Múltiple ",INTERBANCO ,136
"BanCoppel, S.A., Institución de Banca Múltiple ",BANCOPPEL ,137
