key,name
100,Activo
100.01,Activo a corto plazo
101,Caja
101.01,Caja y efectivo
102,Bancos
102.01,Bancos nacionales
102.02,Bancos extranjeros
103,Inversiones
103.01,Inversiones temporales
103.02,Inversiones en fideicomisos
103.03,Otras inversiones
104,Otros instrumentos financieros
104.01,Otros instrumentos financieros
105,Clientes
105.01,Clientes nacionales
105.02,Clientes extranjeros
105.03,Clientes nacionales parte relacionada
105.04,Clientes extranjeros parte relacionada
106,Cuentas y documentos por cobrar a corto plazo
106.01,Cuentas y documentos por cobrar a corto plazo nacional
106.02,Cuentas y documentos por cobrar a corto plazo extranjero
106.03,Cuentas y documentos por cobrar a corto plazo nacional parte relacionada
106.04,Cuentas y documentos por cobrar a corto plazo extranjero parte relacionada
106.05,Intereses por cobrar a corto plazo nacional
106.06,Intereses por cobrar a corto plazo extranjero
106.07,Intereses por cobrar a corto plazo nacional parte relacionada
106.08,Intereses por cobrar a corto plazo extranjero parte relacionada
106.09,Otras cuentas y documentos por cobrar a corto plazo
106.10,Otras cuentas y documentos por cobrar a corto plazo parte relacionada
107,Deudores diversos
107.01,Funcionarios y empleados
107.02,Socios y accionistas
107.03,Partes relacionadas nacionales
107.04,Partes relacionadas extranjeros
107.05,Otros deudores diversos
108,Estimación de cuentas incobrables
108.01,Estimación de cuentas incobrables nacional
108.02,Estimación de cuentas incobrables extranjero
108.03,Estimación de cuentas incobrables nacional parte relacionada
108.04,Estimación de cuentas incobrables extranjero parte relacionada
109,Pagos anticipados
109.01,Seguros y fianzas pagados por anticipado nacional
109.02,Seguros y fianzas pagados por anticipado extranjero
109.03,Seguros y fianzas pagados por anticipado nacional parte relacionada
109.04,Seguros y fianzas pagados por anticipado extranjero parte relacionada
109.05,Rentas pagados por anticipado nacional
109.06,Rentas pagados por anticipado extranjero
109.07,Rentas pagados por anticipado nacional parte relacionada
109.08,Rentas pagados por anticipado extranjero parte relacionada
109.09,Intereses pagados por anticipado nacional
109.10,Intereses pagados por anticipado extranjero
109.11,Intereses pagados por anticipado nacional parte relacionada
109.12,Intereses pagados por anticipado extranjero parte relacionada
109.13,Factoraje financiero pagados por anticipado nacional
109.14,Factoraje financiero pagados por anticipado extranjero
109.15,Factoraje financiero pagados por anticipado nacional parte relacionada
109.16,Factoraje financiero pagados por anticipado extranjero parte relacionada
109.17,Arrendamiento financiero pagados por anticipado nacional
109.18,Arrendamiento financiero pagados por anticipado extranjero
109.19,Arrendamiento financiero pagados por anticipado nacional parte relacionada
109.20,Arrendamiento financiero pagados por anticipado extranjero parte relacionada
109.21,Pérdida por deterioro de pagos anticipados
109.22,Derechos fiduciarios
109.23,Otros pagos anticipados
110,Subsidio al empleo por aplicar
110.01,Subsidio al empleo por aplicar
111,Crédito al diesel por acreditar
111.01,Crédito al diesel por acreditar
112,Otros estímulos
112.01,Otros estímulos
113,Impuestos a favor
113.01,IVA a favor
113.02,ISR a favor
113.03,IETU a favor
113.04,IDE a favor
113.05,IA a favor
113.06,Subsidio al empleo
113.07,Pago de lo indebido
113.08,Otros impuestos a favor
114,Pagos provisionales
114.01,Pagos provisionales de ISR
115,Inventario
115.01,Inventario
115.02,Materia prima y materiales
115.03,Producción en proceso
115.04,Productos terminados
115.05,Mercancías en tránsito
115.06,Mercancías en poder de terceros
115.07,Otros
116,Estimación de inventarios obsoletos y de lento movimiento
116.01,Estimación de inventarios obsoletos y de lento movimiento
117,Obras en proceso de inmuebles
117.01,Obras en proceso de inmuebles
118,Impuestos acreditables pagados
118.01,IVA acreditable pagado
118.02,IVA acreditable de importación pagado
118.03,IEPS acreditable pagado
118.04,IEPS pagado en importación
119,Impuestos acreditables por pagar
119.01,IVA pendiente de pago
119.02,IVA de importación pendiente de pago
119.03,IEPS pendiente de pago
119.04,IEPS pendiente de pago en importación
120,Anticipo a proveedores
120.01,Anticipo a proveedores nacional
120.02,Anticipo a proveedores extranjero
120.03,Anticipo a proveedores nacional parte relacionada
120.04,Anticipo a proveedores extranjero parte relacionada
121,Otros activos a corto plazo
121.01,Otros activos a corto plazo
100.02,Activo a largo plazo
151,Terrenos
151.01,Terrenos
152,Edificios
152.01,Edificios
153,Maquinaria y equipo
153.01,Maquinaria y equipo
154,"Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
154.01,"Automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
155,Mobiliario y equipo de oficina
155.01,Mobiliario y equipo de oficina
156,Equipo de cómputo
156.01,Equipo de cómputo
157,Equipo de comunicación
157.01,Equipo de comunicación
158,"Activos biológicos, vegetales y semovientes"
158.01,"Activos biológicos, vegetales y semovientes"
159,Obras en proceso de activos fijos
159.01,Obras en proceso de activos fijos
160,Otros activos fijos
160.01,Otros activos fijos
161,Ferrocarriles
161.01,Ferrocarriles
162,Embarcaciones
162.01,Embarcaciones
163,Aviones
163.01,Aviones
164,"Troqueles, moldes, matrices y herramental"
164.01,"Troqueles, moldes, matrices y herramental"
165,Equipo de comunicaciones telefónicas
165.01,Equipo de comunicaciones telefónicas
166,Equipo de comunicación satelital
166.01,Equipo de comunicación satelital
167,Equipo de adaptaciones para personas con capacidades diferentes
167.01,Equipo de adaptaciones para personas con capacidades diferentes
168,Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente
168.01,Maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente
169,Otra maquinaria y equipo
169.01,Otra maquinaria y equipo
170,Adaptaciones y mejoras
170.01,Adaptaciones y mejoras
171,Depreciación acumulada de activos fijos
171.01,Depreciación acumulada de edificios
171.02,Depreciación acumulada de maquinaria y equipo
171.03,"Depreciación acumulada de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
171.04,Depreciación acumulada de mobiliario y equipo de oficina
171.05,Depreciación acumulada de equipo de cómputo
171.06,Depreciación acumulada de equipo de comunicación
171.07,"Depreciación acumulada de activos biológicos, vegetales y semovientes"
171.08,Depreciación acumulada de otros activos fijos
171.09,Depreciación acumulada de ferrocarriles
171.10,Depreciación acumulada de embarcaciones
171.11,Depreciación acumulada de aviones
171.12,"Depreciación acumulada de troqueles, moldes, matrices y herramental"
171.13,Depreciación acumulada de equipo de comunicaciones telefónicas
171.14,Depreciación acumulada de equipo de comunicación satelital
171.15,Depreciación acumulada de equipo de adaptaciones para personas con capacidades diferentes
171.16,Depreciación acumulada de maquinaria y equipo de generación de energía de fuentes renovables o de sistemas de cogeneración de electricidad eficiente
171.17,Depreciación acumulada de adaptaciones y mejoras
171.18,Depreciación acumulada de otra maquinaria y equipo
172,Pérdida por deterioro acumulado de activos fijos
172.01,Pérdida por deterioro acumulado de edificios
172.02,Pérdida por deterioro acumulado de maquinaria y equipo
172.03,"Pérdida por deterioro acumulado de automóviles, autobuses, camiones de carga, tractocamiones, montacargas y remolques"
172.04,Pérdida por deterioro acumulado de mobiliario y equipo de oficina
